ruralcc_2013,fips,metro
2,1001,1
3,1003,1
6,1005,0
1,1007,1
1,1009,1
6,1011,0
6,1013,0
3,1015,1
6,1017,0
6,1019,0
1,1021,1
9,1023,0
7,1025,0
9,1027,0
8,1029,0
4,1031,0
3,1033,1
7,1035,0
8,1037,0
6,1039,0
8,1041,0
4,1043,0
4,1045,0
4,1047,0
6,1049,0
2,1051,1
6,1053,0
3,1055,1
6,1057,0
6,1059,0
3,1061,1
8,1063,0
3,1065,1
3,1067,1
3,1069,1
6,1071,0
1,1073,1
8,1075,0
3,1077,1
3,1079,1
3,1081,1
2,1083,1
2,1085,1
6,1087,0
2,1089,1
7,1091,0
7,1093,0
4,1095,0
2,1097,1
7,1099,0
2,1101,1
3,1103,1
8,1105,0
3,1107,1
6,1109,0
6,1111,0
2,1113,1
1,1115,1
1,1117,1
8,1119,0
4,1121,0
6,1123,0
3,1125,1
1,1127,1
8,1129,0
9,1131,0
6,1133,0
9,2013,0
9,2016,0
2,2020,1
7,2050,0
9,2060,0
8,2068,0
9,2070,0
3,2090,1
9,2100,0
9,2105,0
5,2110,0
7,2122,0
7,2130,0
7,2150,0
9,2164,0
2,2170,1
7,2180,0
7,2185,0
7,2188,0
9,2195,0
9,2198,0
7,2220,0
9,2230,0
9,2240,0
9,2261,0
9,2270,0
9,2275,0
9,2282,0
9,2290,0
6,4001,0
3,4003,1
3,4005,1
4,4007,0
7,4009,0
7,4011,0
6,4012,0
1,4013,1
3,4015,1
4,4017,0
2,4019,1
1,4021,1
4,4023,0
3,4025,1
3,4027,1
6,5001,0
7,5003,0
7,5005,0
2,5007,1
7,5009,0
7,5011,0
9,5013,0
6,5015,0
7,5017,0
7,5019,0
7,5021,0
6,5023,0
3,5025,1
7,5027,0
6,5029,0
3,5031,1
2,5033,1
1,5035,1
6,5037,0
6,5039,0
6,5041,0
6,5043,0
2,5045,1
6,5047,0
9,5049,0
3,5051,1
2,5053,1
4,5055,0
6,5057,0
6,5059,0
6,5061,0
7,5063,0
9,5065,0
6,5067,0
3,5069,1
7,5071,0
8,5073,0
6,5075,0
7,5077,0
3,5079,1
3,5081,1
6,5083,0
2,5085,1
2,5087,1
9,5089,0
3,5091,1
4,5093,0
7,5095,0
8,5097,0
7,5099,0
9,5101,0
7,5103,0
2,5105,1
6,5107,0
9,5109,0
3,5111,1
7,5113,0
5,5115,0
8,5117,0
2,5119,1
7,5121,0
6,5123,0
2,5125,1
6,5127,0
9,5129,0
2,5131,1
6,5133,0
7,5135,0
9,5137,0
7,5139,0
8,5141,0
2,5143,1
4,5145,0
9,5147,0
6,5149,0
1,6001,1
8,6003,0
6,6005,0
3,6007,1
6,6009,0
6,6011,0
1,6013,1
7,6015,0
1,6017,1
2,6019,1
6,6021,0
5,6023,0
3,6025,1
7,6027,0
2,6029,1
3,6031,1
4,6033,0
7,6035,0
1,6037,1
3,6039,1
1,6041,1
8,6043,0
4,6045,0
2,6047,1
6,6049,0
7,6051,0
2,6053,1
3,6055,1
4,6057,0
1,6059,1
1,6061,1
7,6063,0
1,6065,1
1,6067,1
1,6069,1
1,6071,1
1,6073,1
1,6075,1
2,6077,1
2,6079,1
1,6081,1
2,6083,1
1,6085,1
2,6087,1
3,6089,1
8,6091,0
6,6093,0
2,6095,1
2,6097,1
2,6099,1
3,6101,1
4,6103,0
8,6105,0
2,6107,1
4,6109,0
2,6111,1
1,6113,1
3,6115,1
1,8001,1
7,8003,0
1,8005,1
7,8007,0
9,8009,0
7,8011,0
2,8013,1
1,8014,1
7,8015,0
9,8017,0
1,8019,1
9,8021,0
9,8023,0
8,8025,0
8,8027,0
6,8029,0
1,8031,1
9,8033,0
1,8035,1
5,8037,0
1,8039,1
2,8041,1
4,8043,0
5,8045,0
1,8047,1
7,8049,0
7,8051,0
9,8053,0
6,8055,0
9,8057,0
1,8059,1
9,8061,0
7,8063,0
6,8065,0
4,8067,0
2,8069,1
7,8071,0
8,8073,0
7,8075,0
3,8077,1
9,8079,0
7,8081,0
6,8083,0
4,8085,0
6,8087,0
6,8089,0
9,8091,0
1,8093,1
9,8095,0
7,8097,0
7,8099,0
3,8101,1
9,8103,0
7,8105,0
7,8107,0
9,8109,0
9,8111,0
9,8113,0
9,8115,0
5,8117,0
2,8119,1
9,8121,0
2,8123,1
7,8125,0
2,9001,1
1,9003,1
4,9005,0
1,9007,1
2,9009,1
2,9011,1
1,9013,1
2,9015,1
3,10001,1
1,10003,1
2,10005,1
1,11001,1
2,12001,1
1,12003,1
3,12005,1
6,12007,0
2,12009,1
1,12011,1
6,12013,0
3,12015,1
3,12017,1
1,12019,1
2,12021,1
4,12023,0
6,12027,0
6,12029,0
1,12031,1
2,12033,1
2,12035,1
6,12037,0
2,12039,1
2,12041,1
6,12043,0
3,12045,1
6,12047,0
6,12049,0
4,12051,0
1,12053,1
3,12055,1
1,12057,1
6,12059,0
3,12061,1
6,12063,0
2,12065,1
9,12067,0
1,12069,1
2,12071,1
2,12073,1
6,12075,0
8,12077,0
6,12079,0
2,12081,1
2,12083,1
2,12085,1
1,12086,1
4,12087,0
1,12089,1
3,12091,1
4,12093,0
1,12095,1
1,12097,1
1,12099,1
1,12101,1
1,12103,1
2,12105,1
4,12107,0
1,12109,1
2,12111,1
2,12113,1
2,12115,1
1,12117,1
3,12119,1
6,12121,0
6,12123,0
6,12125,0
2,12127,1
2,12129,1
3,12131,1
6,12133,0
7,13001,0
9,13003,0
7,13005,0
3,13007,1
4,13009,0
8,13011,0
1,13013,1
1,13015,1
7,13017,0
6,13019,0
3,13021,1
6,13023,0
3,13025,1
3,13027,1
2,13029,1
4,13031,0
2,13033,1
1,13035,1
8,13037,0
4,13039,0
7,13043,0
1,13045,1
2,13047,1
6,13049,0
2,13051,1
2,13053,1
6,13055,0
1,13057,1
3,13059,1
9,13061,0
1,13063,1
6,13065,0
1,13067,1
7,13069,0
6,13071,0
2,13073,1
6,13075,0
1,13077,1
3,13079,1
6,13081,0
2,13083,1
1,13085,1
6,13087,0
1,13089,1
6,13091,0
6,13093,0
3,13095,1
1,13097,1
6,13099,0
3,13101,1
2,13103,1
6,13105,0
7,13107,0
6,13109,0
8,13111,0
1,13113,1
3,13115,1
1,13117,1
8,13119,0
1,13121,1
6,13123,0
9,13125,0
3,13127,1
4,13129,0
6,13131,0
6,13133,0
1,13135,1
6,13137,0
3,13139,1
7,13141,0
1,13143,1
2,13145,1
6,13147,0
1,13149,1
1,13151,1
3,13153,1
7,13155,0
4,13157,0
1,13159,1
7,13161,0
6,13163,0
6,13165,0
7,13167,0
3,13169,1
1,13171,1
3,13173,1
5,13175,0
3,13177,1
3,13179,1
2,13181,1
3,13183,1
3,13185,1
6,13187,0
2,13189,1
3,13191,1
6,13193,0
3,13195,1
2,13197,1
1,13199,1
8,13201,0
6,13205,0
3,13207,1
9,13209,0
1,13211,1
3,13213,1
2,13215,1
1,13217,1
3,13219,1
3,13221,1
1,13223,1
3,13225,1
1,13227,1
6,13229,0
1,13231,1
4,13233,0
3,13235,1
6,13237,0
9,13239,0
7,13241,0
6,13243,0
2,13245,1
1,13247,1
8,13249,0
6,13251,0
6,13253,0
1,13255,1
7,13257,0
8,13259,0
6,13261,0
8,13263,0
8,13265,0
6,13267,0
8,13269,0
7,13271,0
3,13273,1
4,13275,0
5,13277,0
7,13279,0
9,13281,0
7,13283,0
4,13285,0
6,13287,0
3,13289,1
9,13291,0
6,13293,0
2,13295,1
1,13297,1
5,13299,0
8,13301,0
7,13303,0
6,13305,0
8,13307,0
9,13309,0
6,13311,0
3,13313,1
8,13315,0
6,13317,0
8,13319,0
3,13321,1
5,15001,0
2,15003,1
3,15005,1
5,15007,0
3,15009,1
2,16001,1
9,16003,0
3,16005,1
9,16007,0
6,16009,0
4,16011,0
7,16013,0
2,16015,1
6,16017,0
3,16019,1
7,16021,0
3,16023,1
9,16025,0
2,16027,1
6,16029,0
7,16031,0
9,16033,0
6,16035,0
8,16037,0
6,16039,0
3,16041,1
6,16043,0
2,16045,1
7,16047,0
6,16049,0
3,16051,1
7,16053,0
3,16055,1
4,16057,0
7,16059,0
8,16061,0
9,16063,0
4,16065,0
7,16067,0
3,16069,1
8,16071,0
2,16073,1
6,16075,0
6,16077,0
6,16079,0
9,16081,0
5,16083,0
8,16085,0
6,16087,0
5,17001,0
3,17003,1
1,17005,1
2,17007,1
7,17009,0
7,17011,0
1,17013,1
7,17015,0
6,17017,0
3,17019,1
6,17021,0
6,17023,0
7,17025,0
1,17027,1
5,17029,0
1,17031,1
7,17033,0
9,17035,0
1,17037,1
3,17039,1
6,17041,0
1,17043,1
6,17045,0
9,17047,0
7,17049,0
6,17051,0
3,17053,1
4,17055,0
6,17057,0
8,17059,0
6,17061,0
1,17063,1
7,17065,0
7,17067,0
9,17069,0
9,17071,0
2,17073,1
6,17075,0
3,17077,1
7,17079,0
7,17081,0
1,17083,1
6,17085,0
8,17087,0
1,17089,1
3,17091,1
1,17093,1
4,17095,0
1,17097,1
4,17099,0
7,17101,0
6,17103,0
4,17105,0
6,17107,0
5,17109,0
1,17111,1
3,17113,1
3,17115,1
1,17117,1
1,17119,1
4,17121,0
2,17123,1
6,17125,0
7,17127,0
3,17129,1
2,17131,1
1,17133,1
6,17135,0
4,17137,0
6,17139,0
4,17141,0
2,17143,1
6,17145,0
3,17147,1
7,17149,0
8,17151,0
8,17153,0
8,17155,0
6,17157,0
7,17159,0
2,17161,1
1,17163,1
6,17165,0
3,17167,1
7,17169,0
9,17171,0
6,17173,0
2,17175,1
4,17177,0
2,17179,1
6,17181,0
3,17183,1
7,17185,0
6,17187,0
6,17189,0
7,17191,0
6,17193,0
4,17195,0
1,17197,1
3,17199,1
2,17201,1
2,17203,1
6,18001,0
2,18003,1
3,18005,1
3,18007,1
6,18009,0
1,18011,1
1,18013,1
3,18015,1
4,18017,0
1,18019,1
3,18021,1
6,18023,0
8,18025,0
7,18027,0
1,18029,1
6,18031,0
4,18033,0
3,18035,1
5,18037,0
3,18039,1
6,18041,0
1,18043,1
6,18045,0
6,18047,0
7,18049,0
6,18051,0
4,18053,0
6,18055,0
1,18057,1
1,18059,1
1,18061,1
1,18063,1
4,18065,0
3,18067,1
6,18069,0
4,18071,0
1,18073,1
6,18075,0
6,18077,0
6,18079,0
1,18081,1
5,18083,0
4,18085,0
6,18087,0
1,18089,1
3,18091,1
6,18093,0
1,18095,1
1,18097,1
6,18099,0
7,18101,0
6,18103,0
3,18105,1
6,18107,0
1,18109,1
1,18111,1
6,18113,0
1,18115,1
6,18117,0
3,18119,1
6,18121,0
6,18123,0
8,18125,0
1,18127,1
2,18129,1
6,18131,0
1,18133,1
6,18135,0
6,18137,0
6,18139,0
2,18141,1
1,18143,1
1,18145,1
8,18147,0
6,18149,0
7,18151,0
3,18153,1
8,18155,0
3,18157,1
6,18159,0
1,18161,1
2,18163,1
3,18165,1
3,18167,1
6,18169,0
8,18171,0
2,18173,1
1,18175,1
5,18177,0
2,18179,1
6,18181,0
2,18183,1
8,19001,0
9,19003,0
6,19005,0
7,19007,0
8,19009,0
2,19011,1
3,19013,1
6,19015,0
3,19017,1
6,19019,0
7,19021,0
8,19023,0
9,19025,0
7,19027,0
6,19029,0
6,19031,0
5,19033,0
6,19035,0
6,19037,0
6,19039,0
7,19041,0
8,19043,0
4,19045,0
7,19047,0
2,19049,1
9,19051,0
9,19053,0
6,19055,0
5,19057,0
7,19059,0
3,19061,1
7,19063,0
6,19065,0
7,19067,0
7,19069,0
8,19071,0
6,19073,0
3,19075,1
2,19077,1
6,19079,0
7,19081,0
6,19083,0
2,19085,1
6,19087,0
6,19089,0
7,19091,0
8,19093,0
6,19095,0
6,19097,0
6,19099,0
7,19101,0
3,19103,1
2,19105,1
8,19107,0
7,19109,0
5,19111,0
2,19113,1
8,19115,0
6,19117,0
8,19119,0
2,19121,1
7,19123,0
6,19125,0
4,19127,0
2,19129,1
7,19131,0
6,19133,0
7,19135,0
6,19137,0
4,19139,0
7,19141,0
7,19143,0
6,19145,0
7,19147,0
3,19149,1
9,19151,0
2,19153,1
2,19155,1
7,19157,0
9,19159,0
9,19161,0
2,19163,1
6,19165,0
7,19167,0
3,19169,1
6,19171,0
9,19173,0
6,19175,0
9,19177,0
5,19179,0
2,19181,1
3,19183,1
9,19185,0
5,19187,0
7,19189,0
7,19191,0
3,19193,1
9,19195,0
7,19197,0
7,20001,0
6,20003,0
6,20005,0
9,20007,0
7,20009,0
6,20011,0
6,20013,0
2,20015,1
9,20017,0
8,20019,0
6,20021,0
9,20023,0
9,20025,0
6,20027,0
7,20029,0
6,20031,0
9,20033,0
4,20035,0
4,20037,0
9,20039,0
7,20041,0
3,20043,1
3,20045,1
9,20047,0
8,20049,0
5,20051,0
7,20053,0
5,20055,0
5,20057,0
6,20059,0
4,20061,0
9,20063,0
9,20065,0
7,20067,0
9,20069,0
9,20071,0
6,20073,0
9,20075,0
8,20077,0
2,20079,1
9,20081,0
9,20083,0
3,20085,1
3,20087,1
9,20089,0
1,20091,1
9,20093,0
2,20095,1
9,20097,0
7,20099,0
9,20101,0
1,20103,1
9,20105,0
1,20107,1
9,20109,0
4,20111,0
7,20113,0
6,20115,0
6,20117,0
9,20119,0
1,20121,1
7,20123,0
5,20125,0
8,20127,0
9,20129,0
6,20131,0
7,20133,0
9,20135,0
7,20137,0
3,20139,1
9,20141,0
9,20143,0
7,20145,0
7,20147,0
3,20149,1
7,20151,0
9,20153,0
4,20155,0
9,20157,0
7,20159,0
3,20161,1
9,20163,0
9,20165,0
7,20167,0
5,20169,0
7,20171,0
2,20173,1
5,20175,0
3,20177,1
9,20179,0
7,20181,0
9,20183,0
9,20185,0
9,20187,0
7,20189,0
2,20191,1
7,20193,0
9,20195,0
3,20197,1
9,20199,0
9,20201,0
9,20203,0
7,20205,0
9,20207,0
1,20209,1
7,21001,0
3,21003,1
6,21005,0
9,21007,0
6,21009,0
8,21011,0
7,21013,0
1,21015,1
2,21017,1
2,21019,1
7,21021,0
1,21023,1
7,21025,0
8,21027,0
1,21029,1
3,21031,1
7,21033,0
7,21035,0
1,21037,1
9,21039,0
6,21041,0
6,21043,0
9,21045,0
2,21047,1
2,21049,1
7,21051,0
9,21053,0
7,21055,0
9,21057,0
3,21059,1
3,21061,1
9,21063,0
6,21065,0
2,21067,1
7,21069,0
7,21071,0
4,21073,0
9,21075,0
1,21077,1
6,21079,0
1,21081,1
7,21083,0
6,21085,0
8,21087,0
2,21089,1
3,21091,1
3,21093,1
7,21095,0
6,21097,0
8,21099,0
2,21101,1
1,21103,1
9,21105,0
5,21107,0
9,21109,0
1,21111,1
2,21113,1
7,21115,0
1,21117,1
9,21119,0
7,21121,0
3,21123,1
5,21125,0
6,21127,0
9,21129,0
9,21131,0
9,21133,0
8,21135,0
7,21137,0
9,21139,0
6,21141,0
9,21143,0
5,21145,0
9,21147,0
3,21149,1
4,21151,0
9,21153,0
7,21155,0
7,21157,0
9,21159,0
6,21161,0
3,21163,1
9,21165,0
6,21167,0
9,21169,0
8,21171,0
6,21173,0
9,21175,0
6,21177,0
6,21179,0
8,21181,0
6,21183,0
1,21185,1
8,21187,0
9,21189,0
1,21191,1
7,21193,0
7,21195,0
6,21197,0
5,21199,0
8,21201,0
7,21203,0
7,21205,0
9,21207,0
2,21209,1
1,21211,1
6,21213,0
1,21215,1
7,21217,0
8,21219,0
2,21221,1
1,21223,1
6,21225,0
3,21227,1
9,21229,0
7,21231,0
8,21233,0
7,21235,0
9,21237,0
2,21239,1
2,22001,1
6,22003,0
2,22005,1
6,22007,0
6,22009,0
6,22011,0
6,22013,0
2,22015,1
2,22017,1
3,22019,1
8,22021,0
3,22023,1
9,22025,0
6,22027,0
7,22029,0
2,22031,1
2,22033,1
7,22035,0
2,22037,1
6,22039,0
7,22041,0
3,22043,1
2,22045,1
2,22047,1
6,22049,0
1,22051,1
6,22053,0
2,22055,1
3,22057,1
6,22059,0
4,22061,0
2,22063,1
7,22065,0
6,22067,0
6,22069,0
1,22071,1
3,22073,1
1,22075,1
2,22077,1
3,22079,1
8,22081,0
6,22083,0
6,22085,0
1,22087,1
1,22089,1
2,22091,1
1,22093,1
1,22095,1
4,22097,0
2,22099,1
4,22101,0
1,22103,1
3,22105,1
9,22107,0
3,22109,1
3,22111,1
2,22113,1
5,22115,0
6,22117,0
2,22119,1
2,22121,1
9,22123,0
2,22125,1
6,22127,0
3,23001,1
7,23003,0
2,23005,1
6,23007,0
6,23009,0
4,23011,0
7,23013,0
8,23015,0
6,23017,0
3,23019,1
8,23021,0
2,23023,1
6,23025,0
6,23027,0
7,23029,0
2,23031,1
3,24001,1
1,24003,1
1,24005,1
1,24009,1
6,24011,0
1,24013,1
1,24015,1
1,24017,1
6,24019,0
1,24021,1
6,24023,0
1,24025,1
1,24027,1
6,24029,0
1,24031,1
1,24033,1
1,24035,1
3,24037,1
2,24039,1
6,24041,0
2,24043,1
2,24045,1
2,24047,1
1,24510,1
3,25001,1
3,25003,1
1,25005,1
7,25007,0
1,25009,1
4,25011,0
2,25013,1
2,25015,1
1,25017,1
7,25019,0
1,25021,1
1,25023,1
1,25025,1
2,25027,1
9,26001,0
7,26003,0
4,26005,0
7,26007,0
9,26009,0
8,26011,0
9,26013,0
2,26015,1
3,26017,1
9,26019,0
3,26021,1
6,26023,0
3,26025,1
2,26027,1
7,26029,0
7,26031,0
7,26033,0
6,26035,0
2,26037,1
7,26039,0
5,26041,0
7,26043,0
2,26045,1
7,26047,0
2,26049,1
6,26051,0
7,26053,0
5,26055,0
6,26057,0
6,26059,0
5,26061,0
7,26063,0
2,26065,1
4,26067,0
7,26069,0
7,26071,0
4,26073,0
3,26075,1
2,26077,1
7,26079,0
2,26081,1
9,26083,0
9,26085,0
1,26087,1
9,26089,0
4,26091,0
1,26093,1
7,26095,0
7,26097,0
1,26099,1
7,26101,0
5,26103,0
7,26105,0
6,26107,0
7,26109,0
3,26111,1
9,26113,0
3,26115,1
2,26117,1
9,26119,0
3,26121,1
6,26123,0
1,26125,1
6,26127,0
9,26129,0
9,26131,0
9,26133,0
9,26135,0
7,26137,0
2,26139,1
7,26141,0
7,26143,0
3,26145,1
1,26147,1
4,26149,0
6,26151,0
7,26153,0
4,26155,0
6,26157,0
2,26159,1
2,26161,1
1,26163,1
7,26165,0
8,27001,0
1,27003,1
6,27005,0
7,27007,0
3,27009,1
9,27011,0
3,27013,1
6,27015,0
2,27017,1
1,27019,1
9,27021,0
7,27023,0
1,27025,1
3,27027,1
8,27029,0
9,27031,0
7,27033,0
4,27035,0
1,27037,1
3,27039,1
6,27041,0
6,27043,0
3,27045,1
7,27047,0
4,27049,0
9,27051,0
1,27053,1
3,27055,1
7,27057,0
1,27059,1
6,27061,0
7,27063,0
6,27065,0
4,27067,0
9,27069,0
6,27071,0
9,27073,0
6,27075,0
9,27077,0
1,27079,1
9,27081,0
7,27083,0
6,27085,0
8,27087,0
8,27089,0
7,27091,0
6,27093,0
1,27095,1
6,27097,0
4,27099,0
9,27101,0
3,27103,1
7,27105,0
8,27107,0
3,27109,1
6,27111,0
6,27113,0
6,27115,0
6,27117,0
3,27119,1
8,27121,0
1,27123,1
8,27125,0
7,27127,0
8,27129,0
4,27131,0
6,27133,0
7,27135,0
2,27137,1
1,27139,1
1,27141,1
1,27143,1
3,27145,1
5,27147,0
7,27149,0
7,27151,0
6,27153,0
9,27155,0
3,27157,1
7,27159,0
6,27161,0
1,27163,1
6,27165,0
6,27167,0
4,27169,0
1,27171,1
9,27173,0
5,28001,0
7,28003,0
8,28005,0
6,28007,0
1,28009,1
7,28011,0
9,28013,0
9,28015,0
7,28017,0
9,28019,0
8,28021,0
9,28023,0
7,28025,0
7,28027,0
2,28029,1
8,28031,0
1,28033,1
3,28035,1
9,28037,0
6,28039,0
8,28041,0
7,28043,0
2,28045,1
2,28047,1
2,28049,1
6,28051,0
6,28053,0
8,28055,0
7,28057,0
2,28059,1
9,28061,0
8,28063,0
8,28065,0
4,28067,0
9,28069,0
4,28071,0
3,28073,1
5,28075,0
8,28077,0
6,28079,0
5,28081,0
5,28083,0
6,28085,0
5,28087,0
2,28089,1
6,28091,0
1,28093,1
7,28095,0
7,28097,0
7,28099,0
7,28101,0
7,28103,0
5,28105,0
6,28107,0
6,28109,0
3,28111,1
6,28113,0
7,28115,0
7,28117,0
6,28119,0
2,28121,1
6,28123,0
8,28125,0
2,28127,1
8,28129,0
6,28131,0
7,28133,0
7,28135,0
1,28137,1
6,28139,0
8,28141,0
1,28143,1
6,28145,0
9,28147,0
4,28149,0
5,28151,0
7,28153,0
9,28155,0
8,28157,0
7,28159,0
7,28161,0
2,28163,1
7,29001,0
3,29003,1
9,29005,0
6,29007,0
6,29009,0
6,29011,0
1,29013,1
7,29015,0
3,29017,1
3,29019,1
3,29021,1
5,29023,0
1,29025,1
3,29027,1
7,29029,0
3,29031,1
6,29033,0
9,29035,0
1,29037,1
6,29039,0
9,29041,0
2,29043,1
9,29045,0
1,29047,1
1,29049,1
3,29051,1
6,29053,0
6,29055,0
8,29057,0
2,29059,1
8,29061,0
3,29063,1
7,29065,0
6,29067,0
7,29069,0
1,29071,1
6,29073,0
8,29075,0
2,29077,1
7,29079,0
7,29081,0
6,29083,0
8,29085,0
8,29087,0
6,29089,0
7,29091,0
7,29093,0
1,29095,1
3,29097,1
1,29099,1
4,29101,0
9,29103,0
6,29105,0
1,29107,1
6,29109,0
9,29111,0
1,29113,1
7,29115,0
6,29117,0
2,29119,1
7,29121,0
6,29123,0
8,29125,0
5,29127,0
9,29129,0
6,29131,0
6,29133,0
3,29135,1
9,29137,0
6,29139,0
8,29141,0
7,29143,0
3,29145,1
6,29147,0
9,29149,0
3,29151,1
9,29153,0
7,29155,0
6,29157,0
4,29159,0
5,29161,0
6,29163,0
1,29165,1
2,29167,1
5,29169,0
9,29171,0
9,29173,0
6,29175,0
1,29177,1
9,29179,0
9,29181,0
1,29183,1
8,29185,0
6,29186,0
4,29187,0
1,29189,1
6,29195,0
9,29197,0
9,29199,0
4,29201,0
9,29203,0
9,29205,0
6,29207,0
6,29209,0
9,29211,0
4,29213,0
9,29215,0
7,29217,0
1,29219,1
6,29221,0
9,29223,0
2,29225,1
9,29227,0
6,29229,0
1,29510,1
7,30001,0
6,30003,0
9,30005,0
9,30007,0
3,30009,1
9,30011,0
3,30013,1
8,30015,0
7,30017,0
9,30019,0
7,30021,0
7,30023,0
9,30025,0
7,30027,0
5,30029,0
5,30031,0
9,30033,0
7,30035,0
3,30037,1
8,30039,0
7,30041,0
9,30043,0
8,30045,0
6,30047,0
5,30049,0
9,30051,0
7,30053,0
9,30055,0
9,30057,0
9,30059,0
8,30061,0
3,30063,1
8,30065,0
