state,legis_control,gov_party,state_control,year
Alabama,D,R,V,2010
Alaska,V,R,V,2010
Arizona,R,R,R,2010
Arkansas,D,D,D,2010
California,D,R,V,2010
Colorado,D,D,D,2010
Connecticut,D,R,V,2010
Delaware,D,D,D,2010
Florida,R,R,R,2010
Georgia,R,R,R,2010
Hawaii,D,R,V,2010
Idaho,R,R,R,2010
Illinois,D,D,D,2010
Indiana,V,R,V,2010
Iowa,D,D,D,2010
Kansas,R,D,V,2010
Kentucky,V,D,V,2010
Louisiana,D,R,V,2010
Maine,D,D,D,2010
Maryland,D,D,D,2010
Massachusetts,D,D,D,2010
Michigan,V,D,V,2010
Minnesota,D,R,V,2010
Mississippi,D,R,V,2010
Missouri,R,D,V,2010
Montana,V,D,V,2010
Nebraska,NA,R,NA,2010
Nevada,D,R,V,2010
New Hampshire,D,D,D,2010
New Jersey,D,R,V,2010
New Mexico,D,D,D,2010
New York,D,D,D,2010
North Carolina,D,D,D,2010
North Dakota,R,R,R,2010
Ohio,V,D,V,2010
Oklahoma,R,D,V,2010
Oregon,D,D,D,2010
Pennsylvania,V,D,V,2010
Rhode Island,D,R,V,2010
South Carolina,R,R,R,2010
South Dakota,R,R,R,2010
Tennessee,R,D,V,2010
Texas,R,R,R,2010
Utah,R,R,R,2010
Vermont,D,R,V,2010
Virginia,V,R,V,2010
Washington,D,D,D,2010
West Virginia,D,D,D,2010
Wisconsin,D,D,D,2010
Wyoming,R,D,V,2010
Alabama,R,R,R,2011
Alaska,V,R,V,2011
Arizona,R,R,R,2011
Arkansas,D,D,D,2011
California,D,D,D,2011
Colorado,V,D,V,2011
Connecticut,D,D,D,2011
Delaware,D,D,D,2011
Florida,R,R,R,2011
Georgia,R,R,R,2011
Hawaii,D,D,D,2011
Idaho,R,R,R,2011
Illinois,D,D,D,2011
Indiana,R,R,R,2011
Iowa,V,R,V,2011
Kansas,R,R,R,2011
Kentucky,V,D,V,2011
Louisiana,V,R,V,2011
Maine,R,R,R,2011
Maryland,D,D,D,2011
Massachusetts,D,D,D,2011
Michigan,R,R,R,2011
Minnesota,R,D,V,2011
Mississippi,D,R,V,2011
Missouri,R,D,V,2011
Montana,R,D,V,2011
Nebraska,NA,R,NA,2011
Nevada,D,R,V,2011
New Hampshire,R,D,V,2011
New Jersey,D,R,V,2011
New Mexico,D,R,V,2011
New York,V,D,V,2011
North Carolina,R,D,V,2011
North Dakota,R,R,R,2011
Ohio,R,R,R,2011
Oklahoma,R,R,R,2011
Oregon,V,D,V,2011
Pennsylvania,R,R,R,2011
Rhode Island,D,NA,V,2011
South Carolina,R,R,R,2011
South Dakota,R,R,R,2011
Tennessee,R,R,R,2011
Texas,R,R,R,2011
Utah,R,R,R,2011
Vermont,D,D,D,2011
Virginia,V,R,V,2011
Washington,D,D,D,2011
West Virginia,D,D,D,2011
Wisconsin,R,R,R,2011
Wyoming,R,R,R,2011
Alabama,R,R,R,2012
Alaska,V,R,V,2012
Arizona,R,R,R,2012
Arkansas,D,D,D,2012
California,D,D,D,2012
Colorado,V,D,V,2012
Connecticut,D,D,D,2012
Delaware,D,D,D,2012
Florida,R,R,R,2012
Georgia,R,R,R,2012
Hawaii,D,D,D,2012
Idaho,R,R,R,2012
Illinois,D,D,D,2012
Indiana,R,R,R,2012
Iowa,V,R,V,2012
Kansas,R,R,R,2012
Kentucky,V,D,V,2012
Louisiana,R,R,R,2012
Maine,R,R,R,2012
Maryland,D,D,D,2012
Massachusetts,D,D,D,2012
Michigan,R,R,R,2012
Minnesota,R,D,V,2012
Mississippi,R,R,R,2012
Missouri,R,D,V,2012
Montana,R,D,V,2012
Nebraska,NA,R,NA,2012
Nevada,D,R,V,2012
New Hampshire,R,D,V,2012
New Jersey,D,R,V,2012
New Mexico,D,R,V,2012
New York,V,D,V,2012
North Carolina,R,D,V,2012
North Dakota,R,R,R,2012
Ohio,R,R,R,2012
Oklahoma,R,R,R,2012
Oregon,V,D,V,2012
Pennsylvania,R,R,R,2012
Rhode Island,D,V,V,2012
South Carolina,R,R,R,2012
South Dakota,R,R,R,2012
Tennessee,R,R,R,2012
Texas,R,R,R,2012
Utah,R,R,R,2012
Vermont,D,D,D,2012
Virginia,V,R,V,2012
Washington,D,D,D,2012
West Virginia,D,D,D,2012
Wisconsin,R,R,R,2012
Wyoming,R,R,R,2012
Alabama,R,R,R,2013
Alaska,R,R,R,2013
Arizona,R,R,R,2013
Arkansas,R,D,V,2013
California,D,D,D,2013
Colorado,D,D,D,2013
Connecticut,D,D,D,2013
Delaware,D,D,D,2013
Florida,R,R,R,2013
Georgia,R,R,R,2013
Hawaii,D,D,D,2013
Idaho,R,R,R,2013
Illinois,D,D,D,2013
Indiana,R,R,R,2013
Iowa,V,R,V,2013
Kansas,R,R,R,2013
Kentucky,V,D,V,2013
Louisiana,R,R,R,2013
Maine,D,R,V,2013
Maryland,D,D,D,2013
Massachusetts,D,D,D,2013
Michigan,R,R,R,2013
Minnesota,D,D,D,2013
Mississippi,R,R,R,2013
Missouri,R,D,V,2013
Montana,R,D,V,2013
Nebraska,NA,R,NA,2013
Nevada,D,R,V,2013
New Hampshire,V,D,V,2013
New Jersey,D,R,V,2013
New Mexico,D,R,V,2013
New York,D,D,D,2013
North Carolina,R,R,R,2013
North Dakota,R,R,R,2013
Ohio,R,R,R,2013
Oklahoma,R,R,R,2013
Oregon,D,D,D,2013
Pennsylvania,R,R,R,2013
Rhode Island,D,V,V,2013
South Carolina,R,R,R,2013
South Dakota,R,R,R,2013
Tennessee,R,R,R,2013
Texas,R,R,R,2013
Utah,R,R,R,2013
Vermont,D,D,D,2013
Virginia,V,R,V,2013
Washington,D,D,D,2013
West Virginia,D,D,D,2013
Wisconsin,R,R,R,2013
Wyoming,R,R,R,2013
Alabama,R,R,R,2014
Alaska,R,R,R,2014
Arizona,R,R,R,2014
Arkansas,R,D,V,2014
California,D,D,D,2014
Colorado,D,D,D,2014
Connecticut,D,D,D,2014
Delaware,D,D,D,2014
Florida,R,R,R,2014
Georgia,R,R,R,2014
Hawaii,D,D,D,2014
Idaho,R,R,R,2014
Illinois,D,D,D,2014
Indiana,R,R,R,2014
Iowa,V,R,V,2014
Kansas,R,R,R,2014
Kentucky,V,D,V,2014
Louisiana,R,R,R,2014
Maine,D,R,V,2014
Maryland,D,D,D,2014
Massachusetts,D,D,D,2014
Michigan,R,R,R,2014
Minnesota,D,D,D,2014
Mississippi,R,R,R,2014
Missouri,R,D,V,2014
Montana,R,D,V,2014
Nebraska,NA,R,NA,2014
Nevada,D,R,V,2014
New Hampshire,V,D,V,2014
New Jersey,D,R,V,2014
New Mexico,D,R,V,2014
New York,D,D,D,2014
North Carolina,R,R,R,2014
North Dakota,R,R,R,2014
Ohio,R,R,R,2014
Oklahoma,R,R,R,2014
Oregon,D,D,D,2014
Pennsylvania,R,R,R,2014
Rhode Island,D,D,D,2014
South Carolina,R,R,R,2014
South Dakota,R,R,R,2014
Tennessee,R,R,R,2014
Texas,R,R,R,2014
Utah,R,R,R,2014
Vermont,D,D,D,2014
Virginia,R,D,V,2014
Washington,D*,D,D*,2014
West Virginia,D,D,D,2014
Wisconsin,R,R,R,2014
Wyoming,R,R,R,2014
Alabama,R,R,R,2015
Alaska,R,V,V,2015
Arizona,R,R,R,2015
Arkansas,R,R,R,2015
California,D,D,D,2015
Colorado,V,D,V,2015
Connecticut,D,D,D,2015
Delaware,D,D,D,2015
Florida,R,R,R,2015
Georgia,R,R,R,2015
Hawaii,D,D,D,2015
Idaho,R,R,R,2015
Illinois,D,R,V,2015
Indiana,R,R,R,2015
Iowa,V,R,V,2015
Kansas,R,R,R,2015
Kentucky,V,D,V,2015
Louisiana,R,R,R,2015
Maine,V,R,V,2015
Maryland,D,R,V,2015
Massachusetts,D,R,V,2015
Michigan,R,R,R,2015
Minnesota,V,D,V,2015
Mississippi,R,R,R,2015
Missouri,R,D,V,2015
Montana,R,D,V,2015
Nebraska,NA,R,NA,2015
Nevada,R,R,R,2015
New Hampshire,R,D,V,2015
New Jersey,D,R,V,2015
New Mexico,V,R,V,2015
New York,V,D,V,2015
North Carolina,R,R,R,2015
North Dakota,R,R,R,2015
Ohio,R,R,R,2015
Oklahoma,R,R,R,2015
Oregon,D,D,D,2015
Pennsylvania,R,D,V,2015
Rhode Island,D,D,D,2015
South Carolina,R,R,R,2015
South Dakota,R,R,R,2015
Tennessee,R,R,R,2015
Texas,R,R,R,2015
Utah,R,R,R,2015
Vermont,D,D,D,2015
Virginia,R,D,V,2015
Washington,V,D,V,2015
West Virginia,R,D,V,2015
Wisconsin,R,R,R,2015
Wyoming,R,R,R,2015
Alabama,R,R,R,2016
Alaska,R,V,V,2016
Arizona,R,R,R,2016
Arkansas,R,R,R,2016
California,D,D,D,2016
Colorado,V,D,V,2016
Connecticut,D,D,D,2016
Delaware,D,D,D,2016
Florida,R,R,R,2016
Georgia,R,R,R,2016
Hawaii,D,D,D,2016
Idaho,R,R,R,2016
Illinois,D,R,V,2016
Indiana,R,R,R,2016
Iowa,V,R,V,2016
Kansas,R,R,R,2016
Kentucky,V,R,V,2016
Louisiana,R,D,V,2016
Maine,V,R,V,2016
Maryland,D,R,V,2016
Massachusetts,D,R,V,2016
Michigan,R,R,R,2016
Minnesota,V,D,V,2016
Mississippi,R,R,R,2016
Missouri,R,D,V,2016
Montana,R,D,V,2016
Nebraska,NA,R,NA,2016
Nevada,R,R,R,2016
New Hampshire,R,D,V,2016
New Jersey,D,R,V,2016
New Mexico,V,R,V,2016
New York,D,D,D,2016
North Carolina,R,R,R,2016
North Dakota,R,R,R,2016
Ohio,R,R,R,2016
Oklahoma,R,R,R,2016
Oregon,D,D,D,2016
Pennsylvania,R,D,V,2016
Rhode Island,D,D,D,2016
South Carolina,R,R,R,2016
South Dakota,R,R,R,2016
Tennessee,R,R,R,2016
Texas,R,R,R,2016
Utah,R,R,R,2016
Vermont,D,D,D,2016
Virginia,R,D,V,2016
Washington,V,D,V,2016
West Virginia,R,D,V,2016
Wisconsin,R,R,R,2016
Wyoming,R,R,R,2016
Alabama,R,R,R,2017
Alaska,R,V,V,2017
Arizona,R,R,R,2017
Arkansas,R,R,R,2017
California,D,D,D,2017
Colorado,V,D,V,2017
Connecticut,V,D,V,2017
Delaware,D,D,D,2017
Florida,R,R,R,2017
Georgia,R,R,R,2017
Hawaii,D,D,D,2017
Idaho,R,R,R,2017
Illinois,D,R,V,2017
Indiana,R,R,R,2017
Iowa,R,R,R,2017
Kansas,R,R,R,2017
Kentucky,R,R,R,2017
Louisiana,R,D,V,2017
Maine,V,R,V,2017
Maryland,D,R,V,2017
Massachusetts,D,R,V,2017
Michigan,R,R,R,2017
Minnesota,R,D,V,2017
Mississippi,R,R,R,2017
Missouri,R,R,R,2017
Montana,R,D,V,2017
Nebraska,NA,R,NA,2017
Nevada,D,R,V,2017
New Hampshire,R,R,R,2017
New Jersey,D,R,V,2017
New Mexico,D,R,V,2017
New York,D,D,D,2017
North Carolina,R,D,V,2017
North Dakota,R,R,R,2017
Ohio,R,R,R,2017
Oklahoma,R,R,R,2017
Oregon,D,D,D,2017
Pennsylvania,R,D,V,2017
Rhode Island,D,D,D,2017
South Carolina,R,R,R,2017
South Dakota,R,R,R,2017
Tennessee,R,R,R,2017
Texas,R,R,R,2017
Utah,R,R,R,2017
Vermont,D,R,V,2017
Virginia,R,D,V,2017
Washington,D,D,D,2017
West Virginia,R,D,V,2017
Wisconsin,R,R,R,2017
Wyoming,R,R,R,2017
Alabama,R,R,R,2018
Alaska,R,V,V,2018
Arizona,R,R,R,2018
Arkansas,R,R,R,2018
California,D,D,D,2018
Colorado,V,D,V,2018
Connecticut,V,D,V,2018
Delaware,D,D,D,2018
Florida,R,R,R,2018
Georgia,R,R,R,2018
Hawaii,D,D,D,2018
Idaho,R,R,R,2018
Illinois,D,R,V,2018
Indiana,R,R,R,2018
Iowa,R,R,R,2018
Kansas,R,R,R,2018
Kentucky,R,R,R,2018
Louisiana,R,D,V,2018
Maine,V,R,V,2018
Maryland,D,R,V,2018
Massachusetts,D,R,V,2018
Michigan,R,R,R,2018
Minnesota,R,D,V,2018
Mississippi,R,R,R,2018
Missouri,R,R,R,2018
Montana,R,D,V,2018
Nebraska,NA,R,NA,2018
Nevada,D,R,V,2018
New Hampshire,R,R,R,2018
New Jersey,D,D,D,2018
New Mexico,D,R,D,2018
New York,V,D,V,2018
North Carolina,R,D,V,2018
North Dakota,R,R,R,2018
Ohio,R,R,R,2018
Oklahoma,R,R,R,2018
Oregon,D,D,D,2018
Pennsylvania,R,D,V,2018
Rhode Island,D,D,D,2018
South Carolina,R,R,R,2018
South Dakota,R,R,R,2018
Tennessee,R,R,R,2018
Texas,R,R,R,2018
Utah,R,R,R,2018
Vermont,D,R,V,2018
Virginia,R,D,V,2018
Washington,D,D,D,2018
West Virginia,R,R,R,2018
Wisconsin,R,R,R,2018
Wyoming,R,R,R,2018
Alabama,R,R,R,2019
Alaska,R,R,R,2019
Arizona,R,R,R,2019
Arkansas,R,R,R,2019
California,D,D,D,2019
Colorado,D,D,D,2019
Connecticut,D,D,D,2019
Delaware,D,D,D,2019
Florida,R,R,R,2019
Georgia,R,R,R,2019
Hawaii,D,D,D,2019
Idaho,R,R,R,2019
Illinois,D,D,D,2019
Indiana,R,R,R,2019
Iowa,R,R,R,2019
Kansas,R,D,V,2019
Kentucky,R,R,R,2019
Louisiana,R,D,V,2019
Maine,D,D,D,2019
Maryland,D,R,V,2019
Massachusetts,D,R,V,2019
Michigan,R,D,V,2019
Minnesota,V,D,V,2019
Mississippi,R,R,R,2019
Missouri,R,R,R,2019
Montana,R,D,V,2019
Nebraska,NA,R,NA,2019
Nevada,D,D,D,2019
New Hampshire,D,R,V,2019
New Jersey,D,D,D,2019
New Mexico,D,D,D,2019
New York,D,D,D,2019
North Carolina,R,R,V,2019
North Dakota,R,R,R,2019
Ohio,R,R,R,2019
Oklahoma,R,D,R,2019
Oregon,D,D,D,2019
Pennsylvania,R,D,V,2019
Rhode Island,D,R,D,2019
South Carolina,R,R,R,2019
South Dakota,R,R,R,2019
Tennessee,R,R,R,2019
Texas,R,R,R,2019
Utah,R,R,R,2019
Vermont,D,R,V,2019
Virginia,R,D,V,2019
Washington,D,D,D,2019
West Virginia,R,R,R,2019
Wisconsin,R,D,V,2019
Wyoming,R,R,R,2019
